wl,orient_000,orient_010,orient_020,orient_030,orient_040,orient_050,orient_060,orient_070,orient_080,orient_090,orient_100,orient_110,orient_120,orient_130,orient_140,orient_150,orient_160,orient_170,orient_180
401,10.85262488,10.62206097,10.25844588,9.690898739,8.679436427,5.396916887,4.171881585,2.436837502,2.205932298,2.013836976,1.890817004,1.794966493,1.704557892,1.605656709,1.553298553,1.527250652,1.476282954,1.501617246,1.450325268
402,11.42917332,11.20416803,10.83355426,10.25067494,9.152861443,5.671765249,4.401427629,2.560073,2.31681365,2.131353741,1.993969711,1.893443138,1.813440364,1.716297633,1.658167976,1.622999659,1.555839538,1.595984077,1.538944521
403,11.73401925,11.49531242,11.14057142,10.5266616,9.39931171,5.795047473,4.501004583,2.633042478,2.356781821,2.175902798,2.049054993,1.94736875,1.859277802,1.761658075,1.718791865,1.671076503,1.587362606,1.623424147,1.571096084
404,11.91052565,11.6885612,11.28462971,10.6762446,9.535617112,5.853437274,4.550488421,2.663296692,2.378094607,2.210474582,2.097316476,1.980638197,1.887559168,1.777323824,1.753816885,1.690043229,1.607801881,1.642928564,1.591382649
405,11.99850994,11.8033574,11.36763164,10.77699814,9.592030402,5.878804298,4.586996181,2.66409751,2.409971609,2.219118316,2.119779054,2.007014157,1.907187865,1.794610154,1.769223526,1.70946833,1.629367729,1.671022605,1.614221872
406,12.05148511,11.87439352,11.40475772,10.81478057,9.61630839,5.906062384,4.593076124,2.687735922,2.411910601,2.214041374,2.124806943,2.017510676,1.904542814,1.799911527,1.761449611,1.714488997,1.642964516,1.665564604,1.623679227
407,12.19262068,12.01728586,11.5200864,10.93619088,9.714075484,5.973773647,4.652133611,2.706560239,2.436576844,2.239833395,2.139122532,2.039840188,1.924284745,1.808980682,1.776222575,1.7327337,1.663730379,1.690796436,1.648375342
408,12.40120459,12.19891457,11.69320021,11.12944259,9.8633908,6.070715469,4.738422699,2.747125434,2.467878677,2.27032043,2.156730189,2.068878267,1.951075787,1.834565411,1.804306563,1.754128663,1.702926341,1.711617737,1.680128144
409,12.52924494,12.28510544,11.81484383,11.21104171,9.980976665,6.122081032,4.77195213,2.779064141,2.483389377,2.292694006,2.171052723,2.070167284,1.959922056,1.847154725,1.827689454,1.768209336,1.721332833,1.727253452,1.68887904
410,12.88530132,12.6158526,12.17126646,11.51618746,10.28783547,6.297518128,4.904038702,2.836778337,2.541610373,2.341885642,2.226349848,2.119230888,2.016561497,1.889188735,1.88222432,1.813994553,1.756376921,1.771609881,1.727355855
411,13.15051102,12.89311349,12.44573292,11.77564141,10.50016388,6.447069085,5.011548819,2.899199743,2.585153769,2.38505996,2.270089624,2.155544396,2.0511744,1.933005203,1.917950608,1.841128315,1.807603978,1.793253822,1.753529417
412,13.34433672,13.1351851,12.6759639,11.97780959,10.67989408,6.563594467,5.096109868,2.937649951,2.626492467,2.413270536,2.296263927,2.196157978,2.090717704,1.967538488,1.934970916,1.876732603,1.836259482,1.825845138,1.775763147
413,13.80092036,13.59670802,13.1056763,12.40647061,11.04706062,6.790761999,5.259344675,3.017463571,2.696428254,2.479569587,2.360562634,2.275687856,2.15106416,2.03132458,1.98339828,1.926868334,1.887629262,1.875540415,1.835480316
414,14.18983825,13.956863,13.45089621,12.74251005,11.31820276,6.958771114,5.384628908,3.079772234,2.753644968,2.534111223,2.401287185,2.326746052,2.183525307,2.069893609,2.020559993,1.96756988,1.942078531,1.921610564,1.873899665
415,14.21649209,13.93988194,13.43856021,12.73114552,11.31319294,6.947724901,5.362420215,3.050666865,2.746324093,2.529440738,2.390645219,2.313357769,2.176264904,2.064787178,2.012249791,1.969785926,1.918471886,1.927664041,1.874041684
